name,isin,symbol,market,currency,close,close_date,last_price,volume,turnover,ibkr_symbol,ibkr_exchange,ibkr_price,ibkr_price_source,ibkr_bid,ibkr_ask,ibkr_volume,ibkr_last,ibkr_close,ibkr_timestamp,ibkr_status,ibkr_search_method,market_status
LAURENT-PERRIER,FR0006864484,LPE,Euronext Paris,EUR,93.0,2025-08-22,93,156.0,14473.2,LPE,SMART,92.0,CLOSE_TICKER,,,,,92.0,2025-08-28T21:19:39.546628,OK,ISIN:FR0006864484->LPE@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LDC,FR001400SF56,LOUP,Euronext Paris,EUR,91.9,2025-08-22,91.9,2469.0,226376.95,LOUP,SMART,89.7,CLOSE_TICKER,,,,,89.7,2025-08-28T21:19:40.870715,OK,ISIN:FR001400SF56->LOUP@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LECTRA,FR0000065484,LSS,Euronext Paris,EUR,24.1,2025-08-22,24.1,6368.0,153464.75,LSS,SMART,22.85,CLOSE_TICKER,,,,,22.85,2025-08-28T21:19:42.272595,OK,ISIN:FR0000065484->LSS@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LEGRAND,FR0010307819,LR,Euronext Paris,EUR,132.1,2025-08-22,132.1,400073.0,52626886.825,LR,SMART,129.75,CLOSE_TICKER,,,,,129.75,2025-08-28T21:19:43.518962,OK,ISIN:FR0010307819->LR@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LHYFE,FR0014009YQ1,LHYFE,Euronext Paris,EUR,3.245,2025-08-22,3.245,5490.0,17755.505,LHYFE,SMART,3.18,CLOSE_TICKER,,,,,3.18,2025-08-28T21:19:44.843477,OK,ISIN:FR0014009YQ1->LHYFE@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LINEDATA SERVICES,FR0004156297,LIN,Euronext Paris,EUR,64.4,2025-08-22,64.4,286.0,18355.2,LIN1,SMART,63.0,CLOSE_TICKER,,,,,63.0,2025-08-28T21:19:46.122386,OK,ISIN:FR0004156297->LIN1@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LISI,FR0000050353,FII,Euronext Paris,EUR,45.4,2025-08-22,45.4,15649.0,706687.15,FII,SMART,43.3,CLOSE_TICKER,,,,,43.3,2025-08-28T21:19:47.543362,OK,ISIN:FR0000050353->FII@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LNA SANTE,FR0004170017,LNA,Euronext Paris,EUR,31.3,2025-08-22,31.3,3677.0,114395.8,LNA,SMART,30.4,CLOSE_TICKER,,,,,30.4,2025-08-28T21:19:48.879358,OK,ISIN:FR0004170017->LNA@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LUMIBIRD,FR0000038242,LBIRD,Euronext Paris,EUR,18.2,2025-08-22,18.2,10745.0,195784.95,LBIRD,SMART,16.55,CLOSE_TICKER,,,,,16.55,2025-08-28T21:19:50.193377,OK,ISIN:FR0000038242->LBIRD@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
LVMH,FR0000121014,MC,Euronext Paris,EUR,495.1,2025-08-22,495.1,423115.0,208698965.7,MC,SMART,502.0,CLOSE_TICKER,,,,,502.0,2025-08-28T21:19:51.520095,OK,ISIN:FR0000121014->MC@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MAAT PHARMA,FR0012634822,MAAT,Euronext Paris,EUR,5.7,2025-08-22,5.7,35345.0,197959.66,MAAT,SMART,5.04,CLOSE_TICKER,,,,,5.04,2025-08-28T21:19:52.941177,OK,ISIN:FR0012634822->MAAT@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MAISONS DU MONDE,FR0013153541,MDM,Euronext Paris,EUR,1.998,2025-08-22,1.998,26719.0,54379.614,MDM,SMART,1.988,CLOSE_TICKER,,,,,1.988,2025-08-28T21:19:54.313309,OK,ISIN:FR0013153541->MDM@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MALTERIES FCO-BEL.,FR0000030074,MALT,Euronext Paris,EUR,890.0,2025-08-22,890,7.0,6230.0,MALT,SMART,895.0,CLOSE_TICKER,,,,,895.0,2025-08-28T21:19:55.648525,OK,ISIN:FR0000030074->MALT@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MANITOU BF,FR0000038606,MTU,Euronext Paris,EUR,20.5,2025-08-22,20.5,12992.0,264893.8,MTU,SMART,19.22,CLOSE_TICKER,,,,,19.22,2025-08-28T21:19:57.008372,OK,ISIN:FR0000038606->MTU@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MAROC TELECOM,MA0000011488,IAM,Euronext Paris,EUR,11.4,2025-08-22,11.4,12.0,136.6,IAM,SMART,11.4,CLOSE_TICKER,,,,,11.4,2025-08-28T21:19:58.345346,OK,ISIN:MA0000011488->IAM@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MAUREL ET PROM,FR0000051070,MAU,Euronext Paris,EUR,5.445,2025-08-22,5.445,228186.0,1244232.87,MAU,SMART,5.055,CLOSE_TICKER,,,,,5.055,2025-08-28T21:19:59.664020,OK,ISIN:FR0000051070->MAU@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MBWS,FR0000060873,MBWS,Euronext Paris,EUR,2.97,2025-08-22,2.97,4141.0,12136.58,MBWS,SMART,2.91,CLOSE_TICKER,,,,,2.91,2025-08-28T21:20:01.026285,OK,ISIN:FR0000060873->MBWS@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MEDIA 6,FR0000064404,EDI,Euronext Paris,EUR,10.7,2025-08-22,10.7,1.0,10.7,EDI,SMART,10.7,CLOSE_TICKER,,,,,10.7,2025-08-28T21:20:02.251952,OK,ISIN:FR0000064404->EDI@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MEDINCELL,FR0004065605,MEDCL,Euronext Paris,EUR,17.91,2025-08-22,17.91,114150.0,2076890.955,MEDCL,SMART,17.34,CLOSE_TICKER,,,,,17.34,2025-08-28T21:20:03.569280,OK,ISIN:FR0004065605->MEDCL@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MEMSCAP REGPT,FR0010298620,MEMS,Euronext Paris,EUR,3.85,2025-08-22,3.85,14306.0,55272.57,MEMS,SMART,3.755,CLOSE_TICKER,,,,,3.755,2025-08-28T21:20:04.841967,OK,ISIN:FR0010298620->MEMS@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
MERCIALYS,FR0010241638,MERY,Euronext Paris,EUR,11.5,2025-08-22,11.5,55210.0,633180.2,MERY,SMART,10.94,CLOSE_TICKER,,,,,10.94,2025-08-28T21:20:06.258470,OK,ISIN:FR0010241638->MERY@SMART,"POST_MARKET (fermeture à 17h30, il est 21:15)"
