,prix_actuel,prix_min,prix_max,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
ALDV,0.088,0.088,0.088,0.088,0.0,,0.0,2.0
ALFEN,9.45,9.45,9.77,9.61,-3.2753326509723673,,0.0,2.0
ALLFG,5.905,5.905,6.105,6.005000000000001,-3.2760032760032787,,0.0,2.0
ALO,19.465,19.465,20.49,20.105,-4.395874263261295,3.9887519403371354,-0.4474999999999978,3.0
ALTA,97.5,97.5,102.4,100.63333333333333,-4.785156250000005,2.8433751541278878,-2.450000000000014,3.0
ALX,1.45,1.42,1.45,1.435,2.1126760563380302,,0.0,2.0
AM,269.8,269.8,273.6,271.59999999999997,-1.388888888888893,0.15171529417889018,-1.899999999999984,3.0
AMG,27.54,26.46,27.54,27.0,4.081632653061218,,0.0,2.0
AMPLI,6.2,6.2,6.25,6.216666666666666,-0.7999999999999973,0.5656854249492386,-0.025000000000000522,3.0
AMUN,62.2,62.2,63.6,62.95000000000001,-1.3481363996827824,2.173350260630773,-0.4250000000000035,3.0
AMUND,1.13,1.08,1.13,1.105,4.629629629629613,,0.0,2.0
ANTIN,11.28,11.28,11.66,11.5,-2.4221453287197328,2.9161487052857074,-0.13999999999999974,3.0
APAM,26.06,25.88,26.12,26.02,0.695517774343121,0.8181692627370679,0.08999999999999757,3.0
ARAMI,5.45,5.45,5.62,5.536666666666666,-3.0249110320284682,0.14217173228116653,-0.0850000000000002,3.0
ARCAD,39.12,39.12,40.02,39.57,-2.2488755622189047,,0.0,2.0
AREIT,545.0,545.0,555.0,551.6666666666666,-1.8018018018018018,1.2740662724081964,-5.000000000000039,3.0
ARG,63.5,63.5,64.9,64.39999999999999,-2.0061728395061684,1.63446732387778,-0.649999999999992,3.0
ARGX,610.4,602.6,610.4,606.5,1.2943909724526974,,0.0,2.0
ARTE,11.1,11.1,11.2,11.166666666666666,-0.8928571428571397,0.6313453403451295,-0.050000000000000155,3.0
ARTO,9000.0,9000.0,9150.0,9075.0,-1.639344262295082,,0.0,2.0
ARVBS,0.05,0.05,0.05,0.05,0.0,0.0,0.0,1.0
ARVEN,4.96,4.96,5.26,5.109999999999999,-5.703422053231936,,0.0,2.0
ASCE,50.0,50.0,50.0,50.0,0.0,,0.0,2.0
ASM,401.7,401.7,426.4,414.04999999999995,-5.792682926829266,,0.0,2.0
ASML,625.3,625.3,654.3,639.8,-4.432217637169495,,0.0,2.0
ASRNL,58.7,58.7,59.66,59.18,-1.6091183372443745,,0.0,2.0
ASY,43.9,43.9,45.55,44.97,-3.431588209414875,2.7014089804040413,-0.7800000000000072,3.0
ATE,63.45,63.45,67.25,65.8,-4.872563718140929,4.578619169865174,-1.6250000000000047,3.0
ATEB,3.25,3.25,3.25,3.25,0.0,,0.0,2.0
ATEME,6.0,6.0,6.46,6.273333333333333,-5.660377358490571,6.1469288015408585,-0.1799999999999993,3.0
ATLD,44.2,44.2,44.3,44.23333333333333,0.0,0.31959669333424034,-1.4198660940743946e-15,3.0
ATO,37.6,37.6,44.6,42.25,-15.69506726457399,10.951911169960741,-3.4999999999999973,3.0
AUB,43.05,43.05,46.325,45.19166666666666,-7.069616837560725,4.6303820644102744,-1.6375000000000046,3.0
AUGR,5.55,5.55,5.55,5.55,0.0,0.0,-4.869593249624529e-16,3.0
