symbol,prix_actuel,prix_initial,prix_max,prix_min,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
ATE,66.8,65.26,67.25,63.45,65.63499999999999,2.359791602819479,2.753849966828399,0.30595238095238697,8
ATEB,3.27,3.1,3.27,3.1,3.1966666666666668,5.483870967741932,1.4721730518141363,0.03828571428571433,6
ATEME,5.98,5.86,6.46,5.58,6.067500000000001,2.047781569965872,5.4739973115951726,0.07261904761904796,8
ATLD,44.3,44.4,44.4,44.2,44.275,-0.22522522522522842,0.20323619516888647,-0.016666666666664748,8
ATO,45.165,44.61,45.165,37.6,42.838875,1.2441156691324808,8.963772630632219,0.431011904761907,8
AUB,46.0,43.9,46.325,42.76,44.641875,4.7835990888382725,3.1251458852072407,0.4939880952380987,8
AUGR,5.55,5.6,5.6,5.54,5.5625,-0.8928571428571397,0.2867837968460592,-0.007857142857142348,8
AURE,5.92,5.84,5.92,5.72,5.825,1.3698630136986314,1.79798228258479,0.0071428571428574705,8
AVT,0.036,0.034,0.0376,0.034,0.035699999999999996,5.882352941176455,3.5365978656213404,0.0002857142857142882,8
AVTRI,2.5304,1.6154,2.5304,1.6154,2.0232666666666668,56.64231769221247,8.77805464709388,0.4574999999999999,3
AVTX,13.88,8.542,13.954,8.542,11.406333333333334,62.491219854834945,17.117431224054688,1.220285714285714,6
AXS,0.732,0.746,0.751,0.708,0.734,-1.8766756032171599,2.430395558318049,-0.006000000000000053,6
AYV,9.83,9.436,9.83,9.185,9.450125,4.17549809241204,3.1492831309265905,0.051250000000000545,8
AZE,12.81,12.43,12.97,12.34,12.609166666666667,3.05711987127917,2.7088002741024,0.08299999999999992,6
AZRN,1.376,1.38,1.39,1.35,1.3709999999999998,-0.2898550724637684,1.5383409962509962,-0.004857142857142864,6
AZRNW,0.001,0.0005,0.001,0.0005,0.00075,100.0,57.735026918962575,0.0002,4
BAIN,105.5,106.0,106.6,104.5,105.65,-0.4716981132075472,1.008674123093833,-0.009523809523796705,8
BALYO,0.388,0.385,0.391,0.372,0.3855,0.7792207792207799,2.9078973655163045,0.0013809523809523935,8
BAMNB,7.618,7.816,7.834,7.36,7.643833333333333,-2.533265097236432,2.8682869418604446,-0.05105714285714273,6
BANI,3.14,3.16,3.44,3.14,3.223333333333334,-0.6329113924050638,5.785899419611469,0.01771428571428582,6
BANQ,4.06,3.84,4.06,3.84,3.9166666666666665,5.72916666666666,1.2653022374228642,0.03599999999999998,6
BAR,14.07,13.78,14.26,13.72,13.926666666666668,2.104499274310602,2.266814828031171,0.06514285714285639,6
BASS,57.8,52.8,57.8,52.6,55.025,9.469696969696969,3.233471599489714,0.8642857142857183,8
BB,53.8,53.8,53.9,52.0,53.43125,0.0,1.626772128534526,0.013690476190480522,8
BCART,0.29,0.29,0.29,0.29,0.29,0.0,0.0,3.0206719197306074e-19,2
BEKB,38.46,38.18,38.65,38.0,38.36166666666667,0.7333682556312235,1.1948829541369497,0.03514285714285545,6
BELYS,1.03,0.91,1.08,0.91,0.996,13.186813186813188,5.3925130961356,0.026628571428571394,6
BEN,8.535,8.34,8.67,8.085,8.38425,2.3381294964028814,3.418715682904562,0.010214285714286822,8
BESI,115.8,111.46,119.75,105.8,112.06166666666665,3.893773551049707,6.918389371983057,1.2991428571428694,6
BEVER,2.8,2.8,2.8,2.8,2.8000000000000003,0.0,0.0,5.819196607382943e-17,6
BFIT,25.68,25.34,25.68,24.46,25.220000000000006,1.3417521704814517,3.3558737846176205,-0.028000000000002422,5
BIG,1.46,1.386,1.518,1.372,1.4285,5.339105339105344,3.507168345347616,0.01580952380952389,8
